행정동명,저가카페_매장수,전체_카페수,저가카페_비율(%),감성커피,더벤티,더카페,디저트39,만랩커피,매머드커피,메가커피,바나프레소,벤티프레소,봄봄,빽다방,셀렉토,영커피,요거프레소,우지커피,이디야,쥬씨,카페게이트,카페인중독,커피베이,커피사피엔스,커피에반하다,컴포즈커피,텐퍼센트,토프레소,하삼동
용문동,3,55.0,5.45,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
천호1동,9,166.0,5.42,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,2,1,0,0
사당3동,6,111.0,5.41,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0
용강동,15,278.0,5.4,0,1,1,0,1,2,2,0,0,0,1,1,0,0,0,2,0,0,0,1,2,0,1,0,0,0
공릉1동,20,372.0,5.38,0,0,1,0,0,1,6,0,0,0,2,0,0,2,1,2,1,0,0,0,0,0,2,2,0,0
종로5·6가동,18,335.0,5.37,0,1,0,0,0,2,4,0,0,0,1,0,0,0,0,3,1,0,0,2,0,0,2,1,1,0
목4동,12,224.0,5.36,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,2,0,2,0
약수동,5,95.0,5.26,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
명일2동,11,209.0,5.26,1,1,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0
서림동,6,114.0,5.26,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
마천2동,6,115.0,5.22,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0
신정1동,10,192.0,5.21,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,1,0,1,0,1,0,0,1,1,0,0
